IMDB Title,Release Year,averageRating,numVotes,plot,genres,country,Similarity Score
Raw Deal,1986,5.6,31207,A former FBI agent turned small town sheriff agrees to help the FBI chief infiltrate the Chicago mafia when the FBI chief's son is killed by the Chicago Mafia.,"Action,Crime,Thriller","USA, Netherlands",0.8988186982728049
Another 48 Hrs.,1990,5.9,39084,"Jack Cates once again enlists the aid of excon Reggie Hammondthis time, to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area.","Action,Comedy,Crime",USA,0.8962180244428569
Top Dog,1995,4.3,3188,"With his cop companion shot and killed by terrorists, Reno The Dog pairs up with tough cop Jake in thwarting the criminal organization.","Action,Comedy,Crime",USA,0.8913741931717234
The Italian Job,2003,7.0,344390,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.","Action,Crime,Thriller","USA, France, UK",0.8904424830672114
The Killer Elite,1975,6.0,5687,"Mike Locke, who works for a private security firm affiliated with the CIA, is betrayed by his partner and left apparently crippled for life.","Action,Crime,Thriller",USA,0.889039279404665
Brannigan,1975,6.2,5134,Chicago police lieutenant Jim Brannigan is sent to the UK to escort organized crime boss Ben Larkin back to the USA but Larkin's hitmen prepare an ambush for Brannigan.,"Action,Comedy,Crime","UK, USA",0.8882953078936823
Direct Action,2004,5.0,1418,"Frank Gannon, a veteran cop, is being hunted by his fellow police officers after they learned he has betrayed the brotherhood and exposed to the feds wide scale corruption of the LAPD. He has one day left to prove his case and survive.","Action,Crime,Thriller","USA, Canada",0.8862080874140896
Once Upon a Time in Mexico,2003,6.4,154488,Hitman El Mariachi becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.,"Action,Crime,Thriller",USA,0.8849753387741675
High Sierra,1941,7.5,15297,"After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort.","Action,Adventure,Crime",USA,0.8846825784362818
Transporter 2,2005,6.3,192478,"Mercenary Frank Martin, who specializes moving goods of all kinds, surfaces again this time in Miami, Florida when he's implicated in the kidnapping of the young son of a powerful USA official.","Action,Crime,Thriller","France, USA",0.8846778169869075
Firepower,1979,5.0,778,A merc is hired by the FBI to track down a powerful recluse criminal. A woman is also trying to track him down for her own personal vendetta.,"Action,Adventure,Crime",UK,0.8826031185850202
Beverly Hills Cop III,1994,5.6,77005,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that the same men who shot his boss are running a counterfeit money ring out of a theme park in Los Angeles.","Action,Comedy,Crime",USA,0.8823707447779817
The Heroin Busters,1977,6.6,595,An Ialian policeman goes undercover to break up an international heroin smuggling ring and butts heads with a hottempered Interpol agent assigned by his agency to do the same task.,"Action,Crime,Thriller",Italy,0.8817739607811492
Machete,2010,6.6,190818,"After being setup and betrayed by the man who hired him to assassinate a Texas Senator, an exFederale launches a brutal rampage of revenge against his former boss.","Action,Crime,Thriller",USA,0.8808934730728435
Lethal Weapon 3,1992,6.7,158290,Martin Riggs and Roger Murtaugh pursue an arms dealer who is a former LAPD officer.,"Action,Crime,Thriller",USA,0.8798937807621561
